,,,Breakfast at the Frat: A Time Series Analysis,,,,,,,,,,,
UPC,DESCRIPTION,MANUFACTURER,CATEGORY,SUB_CATEGORY,PRODUCT_SIZE,,,,,,,,,
1111009477,PL MINI TWIST PRETZELS,PRIVATE LABEL,BAG SNACKS,PRETZELS,15 OZ,,,,,,,,,
1111009497,PL PRETZEL STICKS,PRIVATE LABEL,BAG SNACKS,PRETZELS,15 OZ,,,,,,,,,
1111009507,PL TWIST PRETZELS,PRIVATE LABEL,BAG SNACKS,PRETZELS,15 OZ,,,,,,,,,
1111035398,PL BL MINT ANTSPTC RINSE,PRIVATE LABEL,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),1.5 LT,,,,,,,,,
1111038078,PL BL MINT ANTSPTC RINSE,PRIVATE LABEL,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),500 ML,,,,,,,,,
1111038080,PL ANTSPTC SPG MNT MTHWS,PRIVATE LABEL,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),500 ML,,,,,,,,,
1111085319,PL HONEY NUT TOASTD OATS,PRIVATE LABEL,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,,,,,,,,,
1111085345,PL RAISIN BRAN,PRIVATE LABEL,COLD CEREAL,ADULT CEREAL,20 OZ,,,,,,,,,
1111085350,PL BT SZ FRSTD SHRD WHT,PRIVATE LABEL,COLD CEREAL,ALL FAMILY CEREAL,18 OZ,,,,,,,,,
1111087395,PL SR CRUST SUPRM PIZZA,PRIVATE LABEL,FROZEN PIZZA,PIZZA/PREMIUM,32.7 OZ,,,,,,,,,
1111087396,PL SR CRUST 3 MEAT PIZZA,PRIVATE LABEL,FROZEN PIZZA,PIZZA/PREMIUM,30.5 OZ,,,,,,,,,
1111087398,PL SR CRUST PEPPRN PIZZA,PRIVATE LABEL,FROZEN PIZZA,PIZZA/PREMIUM,29.6 OZ,,,,,,,,,
1600027527,GM HONEY NUT CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12.25 OZ,,,,,,,,,
1600027528,GM CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,18 OZ,,,,,,,,,
1600027564,GM CHEERIOS,GENERAL MI,COLD CEREAL,ALL FAMILY CEREAL,12 OZ,,,,,,,,,
2066200530,NWMN OWN PEPPERONI PIZZA,KING,FROZEN PIZZA,PIZZA/PREMIUM,13.2 OZ,,,,,,,,,
2066200531,NWMN OWN 4 CHEESE PIZZA,KING,FROZEN PIZZA,PIZZA/PREMIUM,13.3 OZ,,,,,,,,,
2066200532,NWMN OWN SUPREME PIZZA,KING,FROZEN PIZZA,PIZZA/PREMIUM,14.7 OZ,,,,,,,,,
2840002333,RLDGLD BRAIDED HONEY WHT,FRITO LAY,BAG SNACKS,PRETZELS,10 OZ,,,,,,,,,
2840004768,RLDGLD TINY TWISTS PRTZL,FRITO LAY,BAG SNACKS,PRETZELS,16 OZ,,,,,,,,,
2840004770,RLDGLD PRETZEL STICKS,FRITO LAY,BAG SNACKS,PRETZELS,16 OZ,,,,,,,,,
3000006340,QKER LIFE ORIGINAL,QUAKER,COLD CEREAL,ALL FAMILY CEREAL,13 OZ,,,,,,,,,
3000006560,QKER CAP N CRUNCH BERRIES,QUAKER,COLD CEREAL,KIDS CEREAL,13 OZ,,,,,,,,,
3000006610,QKER CAP N CRUNCH,QUAKER,COLD CEREAL,KIDS CEREAL,14 OZ,,,,,,,,,
3120505000,HMRN CLSC SAUSAGE PIZZA,HOME RUN,FROZEN PIZZA,PIZZA/PREMIUM,30 OZ,,,,,,,,,
3120505100,HMRN CLSC SSG PEPP PIZZA,HOME RUN,FROZEN PIZZA,PIZZA/PREMIUM,31 OZ,,,,,,,,,
3120506000,HMRN CLSC CHS PIZZA,HOME RUN,FROZEN PIZZA,PIZZA/PREMIUM,27 OZ,,,,,,,,,
3500068914,COLG SPEARMINT WISP,COLGATE,ORAL HYGIENE PRODUCTS,MOUTHWASH/RINSES AND SPRAYS,16 CT,,,,,,,,,
3700019521,CREST PH WHTG CLN MINT TP,P & G,ORAL HYGIENE PRODUCTS,MOUTHWASH/RINSES AND SPRAYS,4.2 OZ,,,,,,,,,
3700031613,SCOPE ORIG MINT MOUTHWASH,P & G,ORAL HYGIENE PRODUCTS,MOUTHWASH/RINSES AND SPRAYS,1 LT,,,,,,,,,
3700044982,CREST PH CLN MINT RINSE,P & G,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),1 LT,,,,,,,,,
3800031829,KELL BITE SIZE MINI WHEAT,KELLOGG,COLD CEREAL,ALL FAMILY CEREAL,18 OZ,,,,,,,,,
3800031838,KELL FROSTED FLAKES,KELLOGG,COLD CEREAL,KIDS CEREAL,15 OZ,,,,,,,,,
3800039118,KELL FROOT LOOPS,KELLOGG,COLD CEREAL,KIDS CEREAL,12.2 OZ,,,,,,,,,
4116709428,ACT MINT A/CAV FLUOR RNS,CHATTEM,ORAL HYGIENE PRODUCTS,MOUTHWASH/RINSES AND SPRAYS,532 ML,,,,,,,,,
4116709448,ACT KIDS BBLGUM FLUOR RNS,CHATTEM,ORAL HYGIENE PRODUCTS,MOUTHWASH/RINSES AND SPRAYS,532 ML,,,,,,,,,
4116709565,ACT RSTR CL SPLSH MINT MW,CHATTEM,ORAL HYGIENE PRODUCTS,MOUTHWASHES (ANTISEPTIC),532 ML,,,,,,,,,
7027312504,SHURGD PRETZEL RODS,SHULTZ,BAG SNACKS,PRETZELS,12 OZ,,,,,,,,,
7027316204,SHURGD MINI PRETZELS,SHULTZ,BAG SNACKS,PRETZELS,16 OZ,,,,,,,,,
7027316404,SHURGD PRETZEL STICKS,SHULTZ,BAG SNACKS,PRETZELS,16 OZ,,,,,,,,,
